[2023-03-20T09:25:40.438] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T09:27:34.728] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T09:27:34.734] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T09:27:45.267] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T09:27:45.270] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T09:32:12.615] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T09:32:12.622] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T09:39:25.169] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T09:39:25.174] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T09:40:05.369] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T09:40:05.632] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T09:40:33.844] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T09:40:34.179] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T09:41:03.387] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T09:41:03.643] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T09:41:38.922] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T09:41:39.162] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T09:42:14.062] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T09:42:14.069] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T09:45:14.313] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T09:45:14.615] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
